Removed duplicates of file with Size: 1.222.238.877 bytes; 

$awk '!seen[$0]++' boot_success_s0x84F0992_addr_output_smaller.txt > boot_success_s0x84F0992_addr_output_smaller_cleaned.txt

This Files shows 'all' reads and writes during boot process in the following address range:
0x0 - 0x84F0992

Address Range includes all pre written ROMS to our ext_memory;

[TRACE]:

~ [No Crypt] addr: 0; size: 40; type cpu_physical_memory_write_rom_internal;
~ [No Crypt] addr: 80c301c; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3000; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c0000; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c2dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c2fb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c2db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c2db4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3210; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3020; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c3204; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e8000; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e7000; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9002; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e900a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9012; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e901a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9022; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e902a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9032; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e903a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9042; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e904a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e9052; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e905a; size: 2; type mem_op_read;
~ [No Crypt] addr: 80e7000; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7008; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6602; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e660a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6612; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e661a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6622; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e662a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6632; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e663a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6642; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e664a; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e664e; size: 2; type mem_op_read;
~ [No Crypt] addr: 80e7008; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7010; size: 8; type mem_op_read;
~ [No Crypt] addr: 80c3be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 80c2ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 811300c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113024; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113200; size: 4; type mem_op_read;
~ [No Crypt] addr: 811301c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113008; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113010; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113204; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e7010; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7018; size: 8; type mem_op_read;
~ [No Crypt] addr: 8113be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8110000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8112dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8112fb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e7018; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7020; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6642; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e6646; size: 2; type mem_op_read;
~ [No Crypt] addr: 80e7020; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7028; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e7028; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7030; size: 8; type mem_op_read;
~ [No Crypt] addr: 8113bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8112db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113c24; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff014; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff200; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff004; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff204; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff024; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff00c; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81fedbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff000; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffe3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff010; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8112ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 81fedb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 81fffdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 81fefb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 81fc000; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff008; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ffc24; size: 4; type mem_op_read;
~ [No Crypt] addr: 81ff208; size: 4; type mem_op_read;
~ [No Crypt] addr: 81feff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207200; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207204; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207208; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207024; size: 4; type mem_op_read;
~ [No Crypt] addr: 820700c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820701c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207010; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206fb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8204000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207008; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207c24; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8207fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b004; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b00c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b208; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b014; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b024; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b200; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b008; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b000; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820be3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b010; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b018; size: 4; type mem_op_read;
~ [No Crypt] addr: 820b204; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8208000; size: 4; type mem_op_read;
~ [No Crypt] addr: 820adbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820afbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820adb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bc20; size: 4; type mem_op_read;
~ [No Crypt] addr: 820bfdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e6002; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e600a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6012; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e601a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6022; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e602a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6032; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e603a; size: 8; type mem_op_read;
~ [No Crypt] addr: 80e6042; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e6046; size: 2; type mem_op_read;
~ [No Crypt] addr: 80e7030; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7038; size: 8; type mem_op_read;
~ [No Crypt] addr: 820adb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 820aff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206db4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206fbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f004; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f200; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f00c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f208; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f014; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f024; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f008; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f000; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fe3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f010; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f018; size: 4; type mem_op_read;
~ [No Crypt] addr: 820f204; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 820c000; size: 4; type mem_op_read;
~ [No Crypt] addr: 820edbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820efb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fc20; size: 4; type mem_op_read;
~ [No Crypt] addr: 820fbc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820eff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820edb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 820ffdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 820edb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8113208; size: 4; type mem_op_read;
~ [No Crypt] addr: 820afb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206fa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206fb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213200; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213208; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213024; size: 4; type mem_op_read;
~ [No Crypt] addr: 821300c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821301c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213204; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213010; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212fb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8210000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213008; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212db4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e7038; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7040; size: 8; type mem_op_read;
~ [No Crypt] addr: 8213bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217208; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217200; size: 4; type mem_op_read;
~ [No Crypt] addr: 821700c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217024; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217008; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217be0; size: 4; type mem_op_read;
~ [No Crypt] addr: 821701c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217204; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217ffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217e3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217010; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217018; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8214000; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216dbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217bc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216db8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217c20; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217fdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216db4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216ff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fac; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b004; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b208; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b200; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b00c; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b014; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b024; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbcc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b008; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbfc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbe0; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b01c; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b000; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b204; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bffc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821be3c; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbc0; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbb0; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b010; size: 4; type mem_op_read;
~ [No Crypt] addr: 821b018; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbc4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8218000; size: 4; type mem_op_read;
~ [No Crypt] addr: 821adbc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821afa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821aff8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbf4; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bbc8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821adb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 821adb4; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bfdc; size: 4; type mem_op_read;
~ [No Crypt] addr: 821bc20; size: 4; type mem_op_read;
~ [No Crypt] addr: 821afac; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e7040; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7048; size: 8; type mem_op_read;
~ [No Crypt] addr: 821afa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8212fa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8213c24; size: 4; type mem_op_read;
~ [No Crypt] addr: 8206fa4; size: 4; type mem_op_read;
~ [No Crypt] addr: 821afb8; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fa0; size: 4; type mem_op_read;
~ [No Crypt] addr: 8217be4; size: 4; type mem_op_read;
~ [No Crypt] addr: 8216fa8; size: 4; type mem_op_read;
~ [No Crypt] addr: 80e7048; size: 8; type mem_op_write;
~ [No Crypt] addr: 80e7050; size: 8; type mem_op_read;
~ [No Crypt] addr: 8233014; size: 4; type mem_op_read;
~ [No Crypt] addr: 8233208; size: 4; type mem_op_read;
~ [No Crypt] addr: 8233004; size: 4; type mem_op_read;
~ [No Crypt] addr: 8233024; size: 4; type mem_op_read;
~ [No Crypt] addr: 823300c; size: 4; type mem_op_read;
